     u      w
-2.9584 0.8584
2.4031 9.4673
3.4841 6.1431
-2.5586 3.5816
-9.8309 -21.3623
-14.5473 -3.5333
-13.0793 -12.3995
-9.4372 -5.2362
7.9547 0.2360
2.2909 16.1349
11.1414 -4.8390
-3.7162 -4.8777
3.8948 6.5111
8.1162 7.5213
10.6724 -3.1571
-1.3524 -0.8082
15.1383 4.1072
13.1334 11.2774
-2.6179 -9.1683
-9.2433 -21.3228
8.9298 7.2662
9.3004 2.8703
27.4202 10.3762
20.7795 10.2299
20.4620 9.0178
28.3034 4.7783
14.7063 14.4144
14.7122 16.5619
14.2967 6.2650
5.5838 -2.5523
16.7373 14.8546
-2.7998 -4.1058
8.9104 14.6864
25.3230 10.5875
8.7725 -2.1526
-2.3523 7.8141
12.9791 15.2260
2.3883 2.7304
0.9173 20.2488
8.1537 -4.1670
-6.5882 -1.5434
17.5740 21.9936
9.3605 7.2980
9.1002 7.5735
-18.1412 -21.3472
2.1068 0.0540
-5.6132 6.4277
-2.3726 11.7002
-3.7660 -23.3831
-0.6275 5.7211
9.6841 -12.5305
7.0321 5.8226
7.1561 -6.9087
14.4176 -1.6740
10.8856 13.2261
2.0631 18.7068
12.7906 20.2215
-1.9814 -6.3976
-9.4850 -12.9538
-15.2054 -2.5414
-12.3787 -11.1602
-3.8191 -3.2830
1.0852 -2.6968
6.7053 -0.0045
0.5168 1.0254
-9.5643 -4.9287
6.6510 17.2992
-0.2447 -4.0706
-0.7024 -7.9752
-11.9305 -21.2925
4.0026 -10.5062
6.2364 14.1769
-0.0777 -8.3487
-3.0772 11.2616
9.5718 9.7821
-17.6188 -30.2899
-24.1091 -20.2892
-23.5343 -12.8706
-7.6448 -19.3882
-18.6883 4.3657
-15.6606 -2.1029
-10.2552 -19.3180
-14.0941 -0.3813
-9.1896 14.6049
-6.7683 -11.7652
-13.2041 -11.8967
-11.1959 -8.8497
-11.1486 -20.2649
-19.8271 -15.8000
-15.1070 -12.9738
4.0356 -5.9278
-8.1791 14.9698
-6.3521 -3.9691
-9.0225 14.6956
11.8950 2.1249
-0.0152 -0.4721
-4.0489 -4.5379
-0.2859 -3.7048
8.1764 -6.0278
-3.5010 0.5950
-11.6530 -6.3981
-1.6395 14.8151
6.4810 2.9104
16.1716 20.6051
11.3294 8.9211
0.5886 9.1520
15.8791 7.1570
-2.7427 2.0461
-18.4784 -17.0787
-22.5494 -3.3251
-7.9631 -5.3229
9.5213 11.1631
-5.3447 -6.7931
8.6639 15.4572
9.4072 24.4237
-1.4966 12.8608
-9.8782 -6.4754
-3.2577 -16.0320
-8.4249 -33.9780
-17.6468 -11.9618
-10.1782 -11.8131
-14.4747 -10.8696
-16.9325 -18.3385
-6.8281 -20.7240
-21.1176 -7.2499
-0.9654 22.6997
6.5698 10.4458
-4.5651 4.9977
-9.6119 7.9629
3.5416 -6.2591
2.1726 0.1554
17.0082 24.8498
13.8735 -3.7282
-1.3334 -8.0019
0.2085 -12.4829
7.8027 -5.3761
-16.7703 -5.0085
-9.1656 16.6044
2.0604 1.4618
-5.0782 -4.4941
-2.9510 8.0467
12.1571 -1.1151
-17.0955 -3.9657
-12.0886 0.3900
4.9310 -10.7494
-1.2616 -1.6193
2.2820 -0.1778
-0.3899 -5.2388
3.9940 0.7788
-1.7938 0.6827
-4.5197 -1.6730
-2.1319 -8.1776
-5.1970 -19.3434
-14.3999 -6.1147
-13.5615 -0.3734
10.8395 6.3131
12.0805 -1.9465
9.1792 7.0670
9.7106 12.7420
-2.6734 -4.2483
-10.4673 0.5804
-11.4145 -0.4559
0.5001 -15.8322
-10.6744 -2.8307
-5.0330 0.3503
-4.5227 -0.4206
-1.9480 -1.0285
-5.3445 12.6444
22.8824 24.7832
11.1970 9.9355
-10.7385 -16.5340
-2.5444 0.2339
-2.7451 -7.3035
-0.1337 4.6138
8.8729 -5.1341
-16.0602 -27.6423
-14.0370 8.7610
3.6067 12.9125
6.3686 -4.2644
-0.1500 9.9956
-2.8340 -0.4893
6.7311 20.8194
-2.8297 13.9233
7.7151 7.2668
19.3010 17.3468
2.7743 12.6865
22.8756 4.6976
19.2838 10.2007
0.2891 6.0791
-3.9104 -7.0565
-3.7760 -2.2978
16.0489 5.0607
-0.9130 0.1172
-9.1849 -5.6686
6.4608 12.7007
10.1196 3.8226
9.8399 14.9903
11.4830 1.2389
7.1586 5.2909
1.8539 -4.2742
-20.5895 -8.8413
-14.4304 -0.1160
-2.2721 7.8196
14.1438 18.3523
3.7607 1.9604
-10.2120 -9.4966
-17.4970 2.5249
-3.3073 11.9773
5.9088 3.4002
3.4848 -8.8529
-15.9481 -10.7417
1.9126 1.3629
-1.9058 6.7967
13.5204 3.5200
5.8377 1.9434
-16.9942 -6.5558
-0.3852 8.3534
4.5890 4.5704
-5.6501 -5.3302
12.3966 4.2819
-7.9838 3.1168
1.4271 -2.5671
-16.7749 -8.6290
0.6360 -5.7399
13.0771 10.0223
3.5570 -4.9238
2.8312 -5.3610
3.1611 -4.8013
-11.7884 -14.3479
1.9303 -7.3544
-12.6572 -12.6355
-1.8886 16.1743
10.6361 19.5199
0.8057 17.1375
10.2820 3.1895
3.4278 15.1869
15.4624 -3.1446
-1.9249 8.8965
0.1168 -11.6671
-2.8227 5.0345
-0.7216 -3.8638
-13.7203 -4.5139
2.9500 -8.3670
-0.2053 -10.9290
-5.7633 -19.8433
-15.7572 -3.1966
-12.7133 5.4682
8.8581 13.4370
6.8897 18.0134
20.6240 10.8968
-3.4506 1.7012
1.0409 8.6416
4.2276 6.5963
6.6178 6.2019
2.5555 -4.6885
15.8901 0.5162
0.4051 9.4112
0.5982 2.4188
-5.6344 -13.6642
-17.1090 -11.9453
-24.0318 -3.9216
-19.7032 -11.5421
-9.3841 6.5016
-5.7935 -9.1408
-22.5609 11.4949
12.4396 -0.0400
-4.9105 -11.4751
-22.4684 0.0150
